"Simulation" "Statistic" "Tool" "Value"
"1" "RSEMsim" "spearmans" "RSEM_cor" 0.858784446685519
"2" "RSEMsim" "spearmans" "Salmon_align_cor" 0.797947527787157
"3" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.87849074794347
"4" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.880470377159453
"5" "RSEMsim" "spearmans" "Sailfish_cor" 0.873765446612006
"6" "RSEMsim" "spearmans" "eXpress_cor" 0.550200570767426
"7" "RSEMsim" "spearmans" "Kallisto_cor" 0.881043519868083
"8" "RSEMsim" "spearmans" "RSEM_cor" 0.869685747918479
"9" "RSEMsim" "spearmans" "Salmon_align_cor" 0.802171814527296
"10" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.889239110260006
"11" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.894722968026592
"12" "RSEMsim" "spearmans" "Sailfish_cor" 0.883576440488345
"13" "RSEMsim" "spearmans" "eXpress_cor" 0.558793634376713
"14" "RSEMsim" "spearmans" "Kallisto_cor" 0.889076894102648
"15" "RSEMsim" "spearmans" "RSEM_cor" 0.862139164185891
"16" "RSEMsim" "spearmans" "Salmon_align_cor" 0.791419188689941
"17" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.874661841072101
"18" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.882191311068157
"19" "RSEMsim" "spearmans" "Sailfish_cor" 0.870751199113138
"20" "RSEMsim" "spearmans" "eXpress_cor" 0.554377927203196
"21" "RSEMsim" "spearmans" "Kallisto_cor" 0.875534974857425
"22" "RSEMsim" "spearmans" "RSEM_cor" 0.868909119575826
"23" "RSEMsim" "spearmans" "Salmon_align_cor" 0.804526478487546
"24" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.887000342279724
"25" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.892743150070675
"26" "RSEMsim" "spearmans" "Sailfish_cor" 0.883044170694377
