"Var1" "Var2" "value" "statistic"
"1" "RSEM_cor" "ERR1211176" 0.848863400159122 "spearmans"
"2" "Salmon_align_cor" "ERR1211176" 0.808779628243627 "spearmans"
"3" "Salmon_quasi_cor" "ERR1211176" 0.845480046383666 "spearmans"
"4" "Salmon_SMEM_cor" "ERR1211176" 0.849954387768919 "spearmans"
"5" "Sailfish_cor" "ERR1211176" 0.843731415199085 "spearmans"
"6" "eXpress_cor" "ERR1211176" 0.617273547117182 "spearmans"
"7" "Kallisto_cor" "ERR1211176" 0.847603646055602 "spearmans"
"8" "RSEM_cor" "ERR1211177" 0.879144611884673 "spearmans"
"9" "Salmon_align_cor" "ERR1211177" 0.836004754147848 "spearmans"
"10" "Salmon_quasi_cor" "ERR1211177" 0.88371993140877 "spearmans"
"11" "Salmon_SMEM_cor" "ERR1211177" 0.889875011597911 "spearmans"
"12" "Sailfish_cor" "ERR1211177" 0.880714129475914 "spearmans"
"13" "eXpress_cor" "ERR1211177" 0.648207807187642 "spearmans"
"14" "Kallisto_cor" "ERR1211177" 0.88604974958111 "spearmans"
"15" "RSEM_cor" "ERR1211179" 0.877599051549094 "spearmans"
"16" "Salmon_align_cor" "ERR1211179" 0.827216261201399 "spearmans"
"17" "Salmon_quasi_cor" "ERR1211179" 0.883104681298589 "spearmans"
"18" "Salmon_SMEM_cor" "ERR1211179" 0.889526332837009 "spearmans"
"19" "Sailfish_cor" "ERR1211179" 0.882325396933806 "spearmans"
"20" "eXpress_cor" "ERR1211179" 0.644614511332983 "spearmans"
"21" "Kallisto_cor" "ERR1211179" 0.885749181173614 "spearmans"
"22" "RSEM_cor" "ERR1211180" 0.884907285627573 "spearmans"
"23" "Salmon_align_cor" "ERR1211180" 0.842181547865423 "spearmans"
"24" "Salmon_quasi_cor" "ERR1211180" 0.891445750100816 "spearmans"
"25" "Salmon_SMEM_cor" "ERR1211180" 0.895830253507758 "spearmans"
"26" "Sailfish_cor" "ERR1211180" 0.887011821439572 "spearmans"
"27" "eXpress_cor" "ERR1211180" 0.660294423842027 "spearmans"
"28" "Kallisto_cor" "ERR1211180" 0.892443766158074 "spearmans"
