"Statistic" "Tool" "Sample_name" "Value"
"1" "spearmans" "RSEM_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.932969399432967
"2" "spearmans" "Salmon_align_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.925505755502745
"3" "spearmans" "Salmon_quasi_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.930127718468324
"4" "spearmans" "Salmon_SMEM_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.931571281094157
"5" "spearmans" "Sailfish_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.929324325562976
"6" "spearmans" "eXpress_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.886444516891459
"7" "spearmans" "Kallisto_cor" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.931214493466834
"8" "spearmans" "RSEM_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.934526919313427
"9" "spearmans" "Salmon_align_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.92884623569476
"10" "spearmans" "Salmon_quasi_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.931110553919938
"11" "spearmans" "Salmon_SMEM_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.932694778438112
"12" "spearmans" "Sailfish_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.929679004338071
"13" "spearmans" "eXpress_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.896586924924259
"14" "spearmans" "Kallisto_cor" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.93219032766611
"15" "spearmans" "RSEM_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.938416075550629
"16" "spearmans" "Salmon_align_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.925627894891466
"17" "spearmans" "Salmon_quasi_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.934294573655307
"18" "spearmans" "Salmon_SMEM_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.935904350224214
"19" "spearmans" "Sailfish_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.933217985437464
"20" "spearmans" "eXpress_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.901882432160559
"21" "spearmans" "Kallisto_cor" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.935461248958113
"22" "spearmans" "RSEM_cor" "ERR522956" 0.931062085198947
"23" "spearmans" "Salmon_align_cor" "ERR522956" 0.70812238751707
"24" "spearmans" "Salmon_quasi_cor" "ERR522956" 0.931017096748844
"25" "spearmans" "Salmon_SMEM_cor" "ERR522956" 0.932041217537665
"26" "spearmans" "Sailfish_cor" "ERR522956" 0.929703581312002
"27" "spearmans" "eXpress_cor" "ERR522956" 0.748694980696745
"28" "spearmans" "Kallisto_cor" "ERR522956" 0.933271541785111
"29" "nrmse" "RSEM_nmrse" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 24.5
"30" "nrmse" "Salmon_align_nmrse" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 27.3
