"tools" "spearmans_results" "spearmans_error" "nrmse_results" "nrmse_error" "percentage_zeros" "cell_type"
"1" "RSEM" "0.886945145854664" "0.00108682920123396" "18.0625" "0.129959728711356" "100" "B"
"2" "Salmon Alignment" "0.830607726861543" "0.00128099613990437" "26.3125" "0.143191095800002" "100" "B"
"3" "Salmon Quasi" "0.903065804372264" "0.00103992042841005" "16.1045454545455" "0.140158787125301" "100" "B"
"4" "Salmon SMEM" "0.906926353590827" "0.00104156020680874" "15.8715909090909" "0.139617600453585" "100" "B"
"5" "Sailfish" "0.899829108809776" "0.00104318588119958" "16.7545454545455" "0.133270385064688" "100" "B"
"6" "eXpress" "0.637687199380409" "0.00194454822264466" "40.2136363636364" "0.439358626477081" "100" "B"
"7" "Kallisto" "0.904189027758227" "0.00106082999755221" "16.0965909090909" "0.14014517834244" "100" "B"
"8" "RSEM" "0.955297580056128" "0.000769059286930532" "15.0681818181818" "0.145738359471649" "80" "B"
"9" "Salmon Alignment" "0.936347263471496" "0.000980143200932626" "21.0443181818182" "0.166623750649245" "80" "B"
"10" "Salmon Quasi" "0.963358139435755" "0.000594304828130315" "14.5988636363636" "0.192196879083997" "80" "B"
"11" "Salmon SMEM" "0.964938042216386" "0.000569474274528685" "14.2909090909091" "0.197414296072298" "80" "B"
"12" "Sailfish" "0.964120533987998" "0.000643706859239413" "13.7693181818182" "0.173855099127242" "80" "B"
"13" "eXpress" "0.888932516277513" "0.00210030895883885" "33.8579545454545" "0.455999486673702" "80" "B"
"14" "Kallisto" "0.963318743917062" "0.000603840837999328" "14.6636363636364" "0.200529483406327" "80" "B"
"15" "RSEM" "0.976381908823681" "0.000578100831830066" "14.5159090909091" "0.193108044183593" "60" "B"
"16" "Salmon Alignment" "0.963745770797547" "0.000661909000874766" "20.6034090909091" "0.22443734864818" "60" "B"
"17" "Salmon Quasi" "0.977158311811323" "0.000376652566270565" "15.6738636363636" "0.286939195979928" "60" "B"
"18" "Salmon SMEM" "0.97859732292346" "0.000395042857122407" "15.0375" "0.294947494131872" "60" "B"
"19" "Sailfish" "0.979690826170734" "0.000381225464115809" "14.2704545454545" "0.242592230524042" "60" "B"
"20" "eXpress" "0.935412183011135" "0.0013875918876005" "35.9568181818182" "0.530589357691688" "60" "B"
"21" "Kallisto" "0.976703014479621" "0.000395365690756449" "15.8693181818182" "0.304079533136792" "60" "B"
"22" "RSEM" "0.990183594824221" "0.000351731562366825" "13.1931818181818" "0.219740249043028" "40" "B"
"23" "Salmon Alignment" "0.98109911325547" "0.000456169556934636" "19.2386363636364" "0.303572562109078" "40" "B"
"24" "Salmon Quasi" "0.987438044464352" "0.000357278286346082" "15.7511363636364" "0.356690766374134" "40" "B"
"25" "Salmon SMEM" "0.989122672699269" "0.000353624381295772" "14.5534090909091" "0.37241953982822" "40" "B"
"26" "Sailfish" "0.98986755427418" "0.000304662174604042" "13.8806818181818" "0.272943330257858" "40" "B"
"27" "eXpress" "0.936682944503598" "0.00225377654850263" "38.3329545454545" "0.746214272734779" "40" "B"
"28" "Kallisto" "0.987184728348732" "0.000355816792144724" "16.0670454545455" "0.377224234744054" "40" "B"
"29" "RSEM" "0.996524633231355" "0.000188743018833593" "9.89545454545454" "0.259605988581726" "20" "B"
"30" "Salmon Alignment" "0.992070649428722" "0.000343828728907533" "13.7329545454545" "0.281378350909921" "20" "B"
"31" "Salmon Quasi" "0.994919862500619" "0.000228372278408518" "13.3272727272727" "0.397213804993675" "20" "B"
"32" "Salmon SMEM" "0.995552539855846" "0.000216854872499855" "11.2386363636364" "0.359075615059939" "20" "B"
"33" "Sailfish" "0.995010224376054" "0.000229564025308141" "12.6988636363636" "0.361081817876644" "20" "B"
"34" "eXpress" "0.893229040479536" "0.00521121065808716" "43.7920454545455" "1.18222005440169" "20" "B"
