"Filename" "Unique" "NonUnique" "Unmapped" "NumAlignments" "NumReads"
"1" "MaleB583" 3955615 176319 0 4360596 2168876
"2" "MaleB549" 4240286 291546 0 4879474 2410085
"3" "MaleB562" 4636822 272019 0 5271495 2578074
"4" "MaleB9" 4951754 304783 0 5650654 2806402
"5" "MaleB49" 6630560 309156 0 7316362 3701303
"6" "MaleB53" 4082264 174151 0 4479255 2312883
"8" "MaleB575" 3719356 180628 0 4125405 2085886
"9" "MaleB542" 4319126 161887 0 4709670 2376120
"11" "MaleB11" 5598907 230526 0 6147595 3066987
"12" "MaleB81" 5170613 211627 0 5676852 2903157
"13" "MaleB18" 4728244 208619 0 5189209 2653122
"14" "MaleB71" 5209453 262489 0 5841840 2881209
"15" "MaleB589" 5755311 288254 0 6448630 3166334
"16" "MaleB22" 4217297 216870 0 4742355 2366791
"18" "MaleB524" 4982076 234514 0 5533240 2717601
"21" "MaleB557" 4551713 225457 0 5096047 2480032
"22" "MaleB4" 3944406 203378 0 4420515 2192367
"23" "MaleB74" 5033150 192782 0 5492503 2772419
"24" "MaleB584" 3885437 167944 0 4259519 2148603
"26" "MaleB581" 3342518 105091 0 3608591 1813540
"28" "MaleB31" 3790531 165262 0 4190615 2133975
"31" "MaleB509" 4833850 260851 0 5430118 2642214
"32" "MaleB555" 3805299 160974 0 4170107 2067194
"33" "MaleB586" 5024766 349564 0 5781937 2890973
"34" "MaleB525" 5900268 349114 0 6687767 3339313
"35" "MaleB576" 4034973 225580 0 4577878 2209739
"36" "MaleB96" 4253848 136425 0 4622477 2341367
"38" "MaleB544" 4271730 170916 0 4651532 2363090
"40" "MaleB551" 6061528 164083 0 6467544 3337544
"41" "MaleB536" 5732084 396472 0 6617457 3210550
"42" "MaleB94" 4449127 210358 0 4946705 2457361
"43" "MaleB27" 4339097 128397 0 4666012 2383245
"44" "MaleB567" 4828059 169662 0 5239031 2625000
"45" "MaleB68" 6535393 336023 0 7318221 3641685
"46" "MaleB19" 4993873 177023 0 5421651 2769748
"47" "MaleB7" 5125933 294966 0 5818600 2819383
"48" "MaleB60" 5857598 324800 0 6614289 3241964
"49" "MaleB553" 5172262 291963 0 5833586 2844790
"50" "MaleB514" 4650408 148953 0 4981816 2635709
"51" "MaleB13" 6776045 359244 0 7596227 3770066
"52" "MaleB66" 3953553 233456 0 4504243 2210611
"53" "MaleB556" 4906259 130139 0 5231501 2653585
"54" "MaleB547" 4421565 117305 0 4723957 2413365
"56" "MaleB513" 4416692 120577 0 4711315 2501952
"58" "MaleB546" 5275368 168006 0 5668208 2860821
"59" "MaleB523" 5686329 212694 0 6195428 3157829
"60" "MaleB554" 4642982 192525 0 5088249 2596712
"61" "MaleB512" 5669095 226605 0 6191769 3050683
"62" "MaleB26" 4174749 188539 0 4622903 2333979
"63" "MaleB54" 5167230 227663 0 5682687 2916992
"64" "MaleB587" 4096806 259375 0 4730154 2300540
"65" "MaleB64" 5229963 339537 0 6018275 2952742
"66" "MaleB505" 4323902 140533 0 4651280 2338926
"67" "MaleB520" 5495446 260765 0 6126977 3026677
"68" "MaleB8" 5719498 261172 0 6338655 3152489
"69" "MaleB561" 5043442 234352 0 5625153 2736978
"72" "MaleB51" 4164454 220886 0 4660572 2305143
"79" "MaleB528" 5129739 164340 0 5515035 2783753
"80" "MaleB558" 5290044 226374 0 5803779 2895171
"81" "MaleB23" 5555812 254470 0 6111756 3030645
"82" "MaleB572" 4197149 167462 0 4593231 2327523
"83" "MaleB61" 4170526 161696 0 4542395 2324808
"84" "MaleB12" 4095544 238354 0 4628574 2274633
"85" "MaleB552" 3820277 119407 0 4112047 2125831
"86" "MaleB41" 4164462 265801 0 4764036 2351177
"88" "MaleB46" 4471399 169031 0 4840609 2415195
"89" "MaleB530" 5269348 304694 0 5972659 2932839
"90" "MaleB75" 3972512 231656 0 4536236 2222317
"92" "MaleB571" 6044314 181766 0 6468784 3313624
"93" "MaleB29" 5032544 169174 0 5439490 2771772
"94" "MaleB65" 5965721 361762 0 6842918 3399306
"95" "MaleB592" 5439774 256122 0 6034103 3024034
"96" "MaleB559" 5617182 128132 0 5936036 3011889
"19" "MaleB90" 3398741 254867 0 3949756 1979665
"25" "MaleB95" 4466874 284512 0 5157128 2511975
"39" "MaleB45" 4168730 131683 0 4520893 2272371
"410" "MaleB532" 4206922 127918 0 4526283 2367827
"55" "MaleB47" 4175339 188558 0 4629972 2315556
"610" "MaleB538" 4838113 179448 0 5243674 2683856
"7" "MaleB93" 3961649 167799 0 4362096 2190861
"810" "MaleB79" 5668335 251598 0 6233302 3119554
"91" "MaleB73" 4814766 206076 0 5317587 2654023
"10" "MaleB541" 3594091 161504 0 3977646 1942903
"121" "MaleB85" 4737838 160695 0 5129038 2618806
"131" "MaleB72" 4872301 222276 0 5370180 2689079
"141" "MaleB545" 4786428 279035 0 5428344 2674960
"161" "MaleB548" 3967363 162137 0 4349966 2142010
"17" "MaleB78" 5480387 383070 0 6360047 3106432
