"Simulation" "Statistic" "Tool" "Value" "ID"
"1" "RSEMsim" "nrmse" "RSEM_nmrse" 17.3 "all"
"2" "RSEMsim" "nrmse" "Salmon_align_nmrse" 24.7 "all"
"3" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 14.3 "all"
"4" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 14.2 "all"
"5" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.9 "all"
"6" "RSEMsim" "nrmse" "eXpress_nmrse" 45 "all"
"7" "RSEMsim" "nrmse" "Kallisto_nmrse" 14.3 "all"
"8" "RSEMsim" "nrmse" "RSEM_nmrse" 20 "all"
"9" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.8 "all"
"10" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.8 "all"
"11" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.6 "all"
"12" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.9 "all"
"13" "RSEMsim" "nrmse" "eXpress_nmrse" 42.5 "all"
"14" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.6 "all"
"15" "RSEMsim" "nrmse" "RSEM_nmrse" 16.4 "all"
"16" "RSEMsim" "nrmse" "Salmon_align_nmrse" 25.3 "all"
"17" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 14.1 "all"
"18" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 13.9 "all"
"19" "RSEMsim" "nrmse" "Sailfish_nmrse" 15.4 "all"
"20" "RSEMsim" "nrmse" "eXpress_nmrse" 45.8 "all"
"21" "RSEMsim" "nrmse" "Kallisto_nmrse" 14 "all"
"22" "RSEMsim" "nrmse" "RSEM_nmrse" 19.6 "all"
"23" "RSEMsim" "nrmse" "Salmon_align_nmrse" 28.3 "all"
"24" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.9 "all"
"25" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17.6 "all"
